n,t
742000,0.878973
743000,0.880493
744000,0.881703
745000,0.882871
746000,0.884063
747000,0.885278
748000,0.886472
749000,0.887647
750000,0.889113
751000,0.890337
752000,0.891553
753000,0.892732
754000,0.893949
755000,0.895154
756000,0.896354
757000,0.897782
758000,0.898971
759000,0.900198
760000,0.901408
761000,0.902588
762000,0.903778
763000,0.904947
764000,0.906431
765000,0.907595
766000,0.908801
767000,0.910079
768000,0.911266
769000,0.912460
770000,0.913659
771000,0.915147
772000,0.916338
773000,0.917523
774000,0.918729
775000,0.919927
776000,0.921180
777000,0.922380
778000,0.923860
779000,0.925066
780000,0.926269
781000,0.927475
782000,0.928683
783000,0.929894
784000,0.931103
785000,0.932317
786000,0.933770
787000,0.934956
788000,0.936192
789000,0.937383
790000,0.938592
791000,0.939791
792000,0.940989
793000,0.942453
794000,0.943645
795000,0.944875
796000,0.946087
797000,0.947270
798000,0.948454
799000,0.949681
800000,0.951157
801000,0.952343
802000,0.953592
803000,0.954796
804000,0.955995
805000,0.957205
806000,0.958423
807000,0.959905
808000,0.961132
809000,0.962343
810000,0.963534
811000,0.964728
812000,0.965931
813000,0.967159
814000,0.968601
815000,0.969803
816000,0.971026
817000,0.972247
818000,0.973434
819000,0.974648
820000,0.975840
821000,0.977312
822000,0.978490
823000,0.979725
824000,0.980950
825000,0.982226
826000,0.983467
827000,0.984671
828000,0.985861
829000,0.987348
830000,0.988558
831000,0.989760
832000,0.990988
833000,0.992205
834000,0.993407
835000,0.994612
836000,0.996127
837000,0.997331
838000,0.998583
839000,0.999817
840000,1.001117
841000,1.002363
842000,1.003641
843000,1.005178
844000,1.006431
845000,1.007898
846000,1.009323
847000,1.010685
848000,1.012325
849000,1.013697
850000,1.015061
851000,1.016422
852000,1.017775
853000,1.019143
854000,1.020491
855000,1.022101
856000,1.023465
857000,1.024836
858000,1.026190
859000,1.027545
860000,1.028917
861000,1.030293
862000,1.031853
863000,1.033169
864000,1.034482
865000,1.035775
866000,1.037087
867000,1.038359
868000,1.039691
869000,1.041267
870000,1.042536
871000,1.043834
872000,1.045119
873000,1.046411
874000,1.047672
875000,1.048958
876000,1.050534
877000,1.051799
878000,1.053109
879000,1.054369
880000,1.055644
881000,1.056915
882000,1.058241
883000,1.059787
884000,1.061070
885000,1.062319
886000,1.063618
887000,1.064882
888000,1.066160
889000,1.067400
890000,1.068667
891000,1.070257
892000,1.071510
893000,1.072767
894000,1.074059
895000,1.075332
896000,1.076572
897000,1.077803
898000,1.079323
899000,1.080593
900000,1.081810
901000,1.083071
902000,1.084322
903000,1.085561
904000,1.086794
905000,1.088323
906000,1.089577
907000,1.090859
908000,1.092107
909000,1.093335
910000,1.094592
911000,1.095819
912000,1.097061
913000,1.098553
914000,1.099855
915000,1.101104
916000,1.102335
917000,1.103590
918000,1.104820
919000,1.106076
920000,1.107292
921000,1.108780
922000,1.110060
923000,1.111273
924000,1.112485
925000,1.113736
926000,1.114958
927000,1.116214
928000,1.117676
929000,1.119007
930000,1.120284
931000,1.121488
932000,1.122730
933000,1.123934
