n,t
506000,5.51748e-07
507000,5.5794e-07
508000,5.5685e-07
509000,5.7699e-07
510000,6.05021e-07
511000,5.76251e-07
512000,5.7219e-07
513000,5.65798e-07
514000,5.62279e-07
515000,5.5799e-07
516000,5.64029e-07
517000,5.6015e-07
518000,5.9273e-07
519000,6.2989e-07
520000,5.968e-07
521000,5.82681e-07
522000,5.73189e-07
523000,5.66442e-07
524000,5.6556e-07
525000,5.6459e-07
526000,5.77779e-07
527000,6.1367e-07
528000,5.8681e-07
529000,5.76761e-07
530000,5.77118e-07
531000,5.70619e-07
532000,5.6355e-07
533000,5.6633e-07
534000,5.6314e-07
535000,5.66258e-07
536000,5.7569e-07
537000,5.72529e-07
538000,5.75352e-07
539000,5.89781e-07
540000,5.8053e-07
541000,5.78082e-07
542000,5.75099e-07
543000,5.8507e-07
544000,6.0374e-07
545000,6.05018e-07
546000,5.80981e-07
547000,5.7694e-07
548000,5.8876e-07
549000,5.76499e-07
550000,5.80351e-07
551000,5.79109e-07
552000,5.80502e-07
553000,5.81179e-07
554000,6.5469e-07
555000,6.23648e-07
556000,6.00541e-07
557000,5.9788e-07
558000,5.89099e-07
559000,5.8814e-07
560000,5.99551e-07
561000,6.12459e-07
562000,6.1409e-07
563000,5.88291e-07
564000,5.8584e-07
565000,5.9639e-07
566000,5.96859e-07
567000,5.84979e-07
568000,5.84462e-07
569000,5.882e-07
570000,5.89709e-07
571000,5.87862e-07
572000,5.85661e-07
573000,5.89519e-07
574000,5.98261e-07
575000,6.0153e-07
576000,5.92382e-07
577000,6.09851e-07
578000,6.13859e-07
579000,6.22101e-07
580000,6.17189e-07
581000,6.21512e-07
582000,6.16629e-07
583000,6.23491e-07
584000,6.14059e-07
585000,6.19709e-07
586000,6.19221e-07
587000,6.14741e-07
588000,6.7812e-07
589000,6.39989e-07
590000,6.11951e-07
591000,6.23441e-07
592000,6.09229e-07
593000,6.196e-07
594000,6.1049e-07
595000,6.3679e-07
596000,6.1336e-07
597000,6.14161e-07
598000,6.01151e-07
599000,6.03449e-07
600000,6.18639e-07
601000,6.08881e-07
602000,6.01799e-07
603000,6.03111e-07
604000,5.9926e-07
605000,6.01611e-07
606000,6.02181e-07
607000,6.03631e-07
608000,6.1151e-07
609000,6.28409e-07
610000,6.1739e-07
611000,6.428e-07
612000,6.26881e-07
613000,6.08718e-07
614000,6.0596e-07
615000,6.57771e-07
616000,6.3041e-07
617000,6.26931e-07
618000,6.43651e-07
619000,6.2448e-07
620000,6.5861e-07
621000,6.9201e-07
622000,6.58631e-07
623000,6.25708e-07
624000,6.1691e-07
625000,6.4666e-07
626000,6.23062e-07
627000,6.4925e-07
628000,6.24411e-07
629000,6.148e-07
630000,6.12121e-07
631000,6.1378e-07
632000,6.1136e-07
633000,6.25198e-07
634000,6.2638e-07
635000,6.3766e-07
636000,6.3236e-07
637000,6.39141e-07
638000,6.3179e-07
639000,6.25908e-07
640000,6.2798e-07
641000,6.61449e-07
642000,6.3834e-07
643000,6.60591e-07
644000,6.3107e-07
645000,6.19929e-07
646000,6.3292e-07
647000,6.28011e-07
648000,6.24051e-07
649000,6.39601e-07
650000,6.407e-07
651000,6.57279e-07
652000,6.79469e-07
653000,6.97241e-07
654000,6.89719e-07
655000,6.79648e-07
656000,7.07071e-07
657000,6.5928e-07
658000,6.61139e-07
659000,6.45969e-07
660000,6.27699e-07
661000,6.5094e-07
662000,6.82759e-07
663000,6.50539e-07
664000,6.3817e-07
665000,6.29442e-07
666000,6.2602e-07
667000,6.3899e-07
668000,6.60739e-07
669000,7.0395e-07
670000,7.74641e-07
671000,7.01489e-07
672000,6.56059e-07
673000,6.6165e-07
674000,6.74801e-07
675000,6.4806e-07
676000,6.3786e-07
677000,6.42831e-07
678000,6.45399e-07
679000,6.45571e-07
680000,8.46431e-07
681000,7.68051e-07
682000,7.51982e-07
683000,7.51328e-07
684000,7.7209e-07
685000,7.5223e-07
686000,7.05991e-07
687000,6.80389e-07
688000,7.2485e-07
689000,6.91001e-07
690000,6.8748e-07
691000,6.87139e-07
692000,6.90141e-07
693000,6.80671e-07
694000,6.7487e-07
695000,6.77922e-07
696000,6.60501e-07
697000,6.70471e-07
698000,6.686e-07
699000,6.54809e-07
700000,6.58491e-07
701000,6.40769e-07
702000,6.38499e-07
703000,6.89621e-07
704000,6.47421e-07
705000,6.3848e-07
706000,6.41248e-07
707000,6.4301e-07
708000,6.44259e-07
709000,6.4435e-07
710000,6.39739e-07
711000,6.50818e-07
712000,6.5505e-07
713000,6.7148e-07
714000,7.47571e-07
715000,7.1698e-07
716000,6.61671e-07
717000,6.4868e-07
718000,6.97422e-07
719000,6.77662e-07
720000,6.72541e-07
721000,6.5906e-07
722000,7.17139e-07
723000,7.25422e-07
724000,7.13e-07
725000,7.54299e-07
726000,7.5119e-07
727000,7.2186e-07
728000,6.88579e-07
729000,7.056e-07
730000,7.0169e-07
731000,6.97141e-07
732000,7.23071e-07
733000,7.1511e-07
734000,7.0719e-07
735000,6.8773e-07
736000,6.85911e-07
737000,6.86309e-07
738000,6.58069e-07
739000,6.5053e-07
740000,6.55248e-07
741000,6.73461e-07
742000,6.9432e-07
743000,7.52032e-07
744000,7.723e-07
745000,7.2149e-07
746000,7.074e-07
747000,7.3842e-07
748000,7.3015e-07
749000,7.39698e-07
750000,7.0621e-07
751000,6.8141e-07
752000,7.06389e-07
753000,7.2192e-07
754000,6.85949e-07
755000,6.7699e-07
756000,6.85132e-07
757000,6.87809e-07
758000,6.74541e-07
759000,6.59828e-07
760000,6.64639e-07
761000,7.1734e-07
762000,7.04429e-07
763000,6.8171e-07
764000,6.65011e-07
765000,6.6622e-07
766000,6.6447e-07
767000,6.58531e-07
768000,6.60419e-07
769000,7.04322e-07
770000,7.55498e-07
771000,8.40261e-07
772000,8.22749e-07
773000,7.93891e-07
774000,8.1461e-07
775000,7.9529e-07
776000,9.2648e-07
777000,7.885e-07
778000,7.56888e-07
779000,7.39851e-07
780000,7.16331e-07
781000,7.319e-07
782000,7.44002e-07
783000,7.63772e-07
784000,7.53219e-07
785000,7.3478e-07
786000,7.0787e-07
787000,7.3987e-07
788000,7.1784e-07
789000,7.0905e-07
790000,6.81279e-07
791000,6.8176e-07
792000,7.0055e-07
793000,7.06282e-07
794000,7.08449e-07
795000,7.16269e-07
796000,7.25601e-07
797000,7.18858e-07
798000,7.23031e-07
799000,7.11079e-07
800000,7.5959e-07
801000,7.80921e-07
802000,9.4662e-07
803000,7.985e-07
804000,7.2557e-07
805000,6.99079e-07
806000,6.87869e-07
807000,6.80752e-07
808000,6.9742e-07
809000,7.82938e-07
810000,7.36449e-07
811000,7.60889e-07
812000,7.37729e-07
813000,7.31709e-07
814000,7.44009e-07
815000,7.30479e-07
816000,7.33931e-07
817000,7.00002e-07
818000,7.12042e-07
819000,7.8567e-07
820000,8.0893e-07
821000,7.95031e-07
822000,7.72538e-07
